Municipality,2017,2018,2019,2020,2021
Nova Veneza,716229000,725722000,762923000,809754000,1074495000
Novo Horizonte,81119000,91467000,90211000,114282000,119837000
Orleans,972736000,907528000,914094000,977649000,1188072000
Otacílio Costa,695720000,756115000,771816000,854143000,997982000
Ouro,159749000,166185000,195961000,216547000,252604000
Ouro Verde,86255000,87373000,93757000,118511000,137259000
Paial,38921000,41202000,41042000,47724000,58309000
Painel,57573000,47345000,59884000,66537000,84935000
Palhoça,4834031000,5495239000,5981661000,6526406000,8208640000
Palma Sola,201937000,225371000,210110000,250472000,332257000
Palmeira,106429000,102083000,110983000,127913000,187888000
Palmitos,575112000,622695000,690896000,760296000,913735000
Papanduva,543672000,599731000,608184000,726361000,853750000
Paraíso,88845000,101066000,114049000,135562000,143288000
Passo De Torres,140034000,164550000,176762000,201444000,237289000
Passos Maia,136167000,138421000,133258000,145997000,175174000
Paulo Lopes,181155000,190316000,200409000,228625000,250013000
Pedras Grandes,138811000,132759000,170825000,215519000,243418000
Penha,673741000,744014000,818900000,904898000,1036821000
Peritiba,83670000,85075000,93932000,105755000,120945000
Pescaria Brava,92403000,97483000,96795000,107686000,119429000
Petrolândia,167194000,173848000,180699000,188155000,223543000
Balneário Piçarras,841169000,940626000,1109019000,1220718000,1513736000
Pinhalzinho,1019819000,1124193000,1142862000,1345611000,1514076000
Pinheiro Preto,165772000,161629000,185381000,229683000,227240000
Piratuba,653928000,615058000,744223000,742490000,801118000
Planalto Alegre,88616000,94958000,110951000,115212000,141926000
Pomerode,1919219000,2026542000,2119535000,2195887000,2806204000
Ponte Alta,109888000,113964000,130958000,146028000,175760000
Ponte Alta Do Norte,110204000,115312000,114120000,138328000,166629000
Ponte Serrada,225478000,227218000,226706000,249933000,291031000
Porto Belo,945196000,1178492000,1262036000,1331541000,1471880000
Porto União,703090000,755636000,778739000,913309000,1149800000
Pouso Redondo,520724000,484199000,552288000,643200000,718985000
Praia Grande,155814000,160288000,169564000,189761000,223238000
Presidente Castello Branco,45855000,45958000,58114000,70734000,75919000
Presidente Getúlio,625811000,712107000,721755000,774482000,985009000
Presidente Nereu,55113000,52784000,51270000,57699000,62737000
Princesa,66929000,71461000,74082000,105254000,135903000
Quilombo,347609000,352932000,365021000,407041000,462582000
Rancho Queimado,102976000,117627000,137059000,145848000,165728000
Rio Das Antas,176864000,191130000,218652000,255945000,288065000
Rio Do Campo,162920000,148715000,160506000,184044000,212919000
Rio Do Oeste,194685000,185459000,207608000,236339000,276105000
Rio Dos Cedros,310346000,331946000,337204000,389707000,474936000
Rio Do Sul,2572166000,2720585000,2894183000,3114749000,3689822000
Rio Fortuna,237809000,238325000,244804000,227598000,302761000
Rio Negrinho,1092653000,1158392000,1232921000,1388260000,1614436000
Rio Rufino,50133000,48529000,59281000,67629000,70061000
Riqueza,99925000,113321000,125258000,127559000,147649000
Rodeio,273991000,285389000,305808000,324657000,390008000
Romelândia,82298000,84640000,89442000,105861000,111320000
Salete,180699000,197926000,217412000,290792000,318139000
Saltinho,71691000,70345000,70207000,80354000,93621000
Salto Veloso,171636000,171779000,201534000,239744000,266902000
Sangão,280615000,319331000,334652000,362605000,466595000
Santa Cecília,419310000,471156000,481575000,545082000,661992000
Santa Helena,64421000,70117000,75550000,92087000,103604000
Santa Rosa De Lima,48274000,50675000,57476000,64945000,72823000
Santa Rosa Do Sul,138941000,132882000,152034000,152667000,199062000
Santa Terezinha,192740000,181341000,193929000,192830000,268973000
Santa Terezinha Do Progresso,49384000,52388000,52310000,58250000,65114000
Santiago Do Sul,32321000,33862000,35091000,38552000,48477000
Santo Amaro Da Imperatriz,753919000,849096000,926449000,1030217000,1256347000
São Bernardino,57875000,63758000,64034000,78390000,88157000
São Bento Do Sul,2994813000,3198418000,3326009000,3643373000,4697015000
São Bonifácio,61837000,71493000,73700000,81150000,112418000
São Carlos,340075000,422166000,431579000,439248000,520775000
São Cristovão Do Sul,147729000,158777000,159650000,161301000,219792000
São Domingos,309648000,327782000,310396000,338849000,449963000
São Francisco Do Sul,3996444000,4148268000,4237516000,4748367000,8516095000
São João Do Oeste,213294000,221487000,262132000,316347000,353201000
São João Batista,860361000,898830000,922007000,881848000,1029641000
São João Do Itaperiú,169132000,170498000,206262000,241894000,338133000
São João Do Sul,188924000,192772000,204293000,238501000,282886000
São Joaquim,858627000,747468000,894685000,917586000,1133168000
São José,10136637000,10621491000,11282675000,11496325000,13838193000
São José Do Cedro,389556000,409763000,418102000,485743000,568132000
São José Do Cerrito,228025000,249389000,262277000,194482000,318807000
São Lourenço Do Oeste,839371000,961311000,1113148000,1191454000,1389396000
São Ludgero,582934000,636522000,694682000,772343000,929134000
São Martinho,75107000,81337000,81088000,89577000,109250000
São Miguel Da Boa Vista,34044000,36660000,39535000,47548000,50296000
São Miguel Do Oeste,1449729000,1522931000,1675709000,1809696000,2174143000
São Pedro De Alcântara,71309000,80872000,87586000,93148000,101122000
Saudades,324687000,321888000,384633000,411355000,527126000
Schroeder,483796000,499546000,524942000,607989000,759385000
Seara,812914000,800616000,897038000,1014671000,1178536000
Serra Alta,77388000,81310000,87115000,97471000,118024000
Siderópolis,458519000,466603000,525437000,615503000,679481000
Sombrio,752082000,785414000,802900000,783455000,910229000
Sul Brasil,51487000,56415000,63194000,75229000,83386000
Taió,573679000,600246000,667305000,718379000,844581000
Tangará,411972000,409667000,437917000,478415000,600820000
Tigrinhos,37668000,54865000,60595000,50558000,65548000
Tijucas,1467125000,1540690000,1735114000,1892241000,2437804000
Timbé Do Sul,115360000,128887000,129208000,142548000,154862000
Timbó,1832567000,1859262000,1968870000,2091846000,2534387000
Timbó Grande,187298000,197451000,190135000,216990000,303272000
Três Barras,1043119000,1113638000,1150788000,1305815000,1522652000
Treviso,215595000,204556000,211500000,245432000,232220000
Treze De Maio,143734000,147550000,164606000,166747000,199700000
Treze Tílias,614882000,613443000,711233000,772538000,829463000
Trombudo Central,232396000,254061000,277023000,312665000,437924000
Tubarão,3516205000,3766690000,3960988000,4042543000,4816733000
Tunápolis,119102000,124259000,142172000,172018000,182298000
Turvo,518351000,538470000,535816000,644252000,737826000
União Do Oeste,60672000,59562000,65773000,76754000,85123000
Urubici,232356000,250477000,296454000,328267000,356265000
Urupema,68707000,54681000,66599000,75557000,88451000
Urussanga,794659000,835978000,834460000,913728000,1086622000
Vargeão,133069000,131949000,141091000,166907000,200991000
Vargem,59496000,61423000,65621000,64377000,116140000
Vargem Bonita,383954000,393015000,444107000,517765000,539876000
Vidal Ramos,262230000,287523000,286156000,322935000,354799000
Videira,2230367000,2430271000,2702486000,2966027000,3455717000
Vitor Meireles,117876000,118554000,118907000,128649000,142269000
Witmarsum,120886000,129241000,131480000,143648000,175188000
Xanxerê,1604050000,1705509000,1899160000,2183588000,2676948000
Xavantina,183022000,166048000,157909000,175525000,211868000
Xaxim,927592000,948212000,1038196000,1107802000,1491017000
Zortéa,69089000,71189000,82422000,81869000,103643000
Balneário Rincão,212953000,225346000,242538000,270367000,294616000
Aceguá,265550000,246899000,252625000,265178000,458224000
Água Santa,278780000,330908000,324345000,346224000,547412000
Agudo,495479000,500623000,536306000,542217000,667873000
Ajuricaba,259932000,298890000,302388000,325072000,521059000
Alecrim,106532000,110384000,118596000,132578000,162072000
Alegrete,2015503000,2187237000,2138815000,2238378000,3079871000
Alegria,100027000,113666000,111040000,127788000,156622000
Almirante Tamandaré Do Sul,130337000,164557000,163358000,184131000,276411000
Alpestre,530638000,490938000,536828000,531049000,196381000
Alto Alegre,62759000,66386000,62053000,55533000,106141000
Alto Feliz,86839000,94220000,119902000,122202000,161548000
Alvorada,2490757000,2705890000,2855079000,3083474000,3302248000
Amaral Ferrador,101295000,98248000,121478000,117187000,147632000
Ametista Do Sul,105509000,120481000,135409000,135171000,177770000
André Da Rocha,102114000,110218000,106494000,88664000,193089000
Anta Gorda,208157000,214992000,212466000,240015000,322292000
Antônio Prado,549508000,613852000,658275000,670931000,797510000
Arambaré,139621000,121069000,137712000,153489000,285088000
Araricá,141834000,162836000,193184000,203611000,236430000
Aratiba,879723000,802057000,1004596000,985214000,946969000
Arroio Do Meio,1090730000,1223893000,1252990000,1326810000,1536556000
Arroio Do Sal,229881000,223820000,245738000,257321000,285577000
Arroio Do Padre,58752000,45527000,56794000,59637000,76784000
Arroio Dos Ratos,235707000,261833000,269967000,263665000,357345000
Arroio Do Tigre,335583000,335744000,331546000,307212000,429271000
Arroio Grande,603210000,543537000,542512000,615576000,1131508000
Arvorezinha,256779000,248743000,257735000,280835000,336246000
Augusto Pestana,305653000,339950000,321340000,315019000,504183000
Áurea,98348000,108066000,110239000,108144000,163438000
Bagé,2840943000,2980376000,3157650000,3205307000,3748409000
Balneário Pinhal,205318000,217645000,240933000,255481000,312091000
Barão,186359000,213611000,257251000,254319000,308101000
Barão De Cotegipe,208462000,218641000,244747000,263975000,341672000
Barão Do Triunfo,114495000,111097000,143537000,123102000,142318000
Barracão,187339000,218373000,208863000,188578000,317083000
Barra Do Guarita,41085000,42046000,46291000,50622000,56811000
Barra Do Quaraí,201992000,174475000,171509000,195542000,386181000
Barra Do Ribeiro,319092000,319913000,334293000,356754000,505591000
Barra Do Rio Azul,46615000,48894000,53648000,62948000,80747000
Barra Funda,119224000,131382000,131785000,130371000,165029000
Barros Cassal,194243000,204920000,203010000,191570000,244512000
Benjamin Constant Do Sul,30682000,32060000,35370000,36618000,49313000
Bento Gonçalves,5548630000,5976971000,6352300000,6438727000,7498499000
Boa Vista Das Missões,114865000,155877000,147541000,159078000,238521000
Boa Vista Do Buricá,199620000,214582000,246363000,268218000,326885000
Boa Vista Do Cadeado,217660000,275402000,251840000,216752000,468750000
Boa Vista Do Incra,157093000,202595000,172153000,125411000,384172000
Boa Vista Do Sul,72506000,91058000,86846000,95682000,120127000
Bom Jesus,300326000,335767000,445754000,390406000,613622000
Bom Princípio,551039000,652537000,713070000,774622000,906593000
Bom Progresso,51887000,52828000,61844000,69032000,86279000
Bom Retiro Do Sul,270481000,304129000,316775000,329144000,403054000
Boqueirão Do Leão,132986000,131624000,136833000,119780000,150393000
Bossoroca,272262000,329381000,324590000,255761000,490597000
Bozano,104964000,155075000,131221000,130664000,227409000
Braga,79276000,85901000,94612000,98720000,130948000
Brochier,85835000,83722000,91654000,99348000,117700000
Butiá,431541000,445252000,475949000,437145000,543347000
Caçapava Do Sul,811817000,817108000,865350000,853531000,1122667000
Cacequi,323301000,342566000,339299000,357928000,623085000
Cachoeira Do Sul,2318936000,2356606000,2419203000,2370031000,3542693000
Cachoeirinha,5107333000,5280303000,5701383000,5637452000,6458476000
Cacique Doble,96044000,113840000,116519000,117937000,169235000
Caibaté,158178000,177651000,183735000,157848000,264915000
Caiçara,97808000,101468000,113039000,127577000,152840000
Camaquã,2019774000,2013661000,2182211000,2192286000,2723662000
Camargo,170427000,166199000,293030000,409991000,520481000
Cambará Do Sul,150149000,181066000,178748000,171720000,242576000
Campestre Da Serra,152585000,171833000,152971000,140798000,204702000
Campina Das Missões,147060000,152466000,163751000,188975000,239168000
Campinas Do Sul,197137000,221430000,234316000,254130000,399402000
Campo Bom,2929536000,3131251000,3196404000,3083001000,3600068000
Campo Novo,193008000,209544000,230812000,227386000,325738000
Campos Borges,86868000,98164000,89064000,85473000,150033000
Candelária,806121000,833332000,851074000,838435000,1078186000
Cândido Godói,219863000,238083000,243361000,273298000,358436000
Candiota,512374000,630311000,649785000,1577513000,2744006000
Canela,1035993000,1129962000,1255551000,1237676000,1595255000
Canguçu,1145771000,1113950000,1299068000,1219622000,1660002000
Canoas,18883627000,19218794000,19611051000,18452358000,21995362000
Canudos Do Vale,42896000,43187000,49512000,52342000,67987000
Capão Bonito Do Sul,152236000,197385000,197708000,164468000,342052000
Capão Da Canoa,1373552000,1435685000,1605660000,1698754000,1966012000
Capão Do Cipó,243149000,322367000,320955000,257736000,644964000
Capão Do Leão,526626000,508388000,551889000,610694000,830082000
Capivari Do Sul,218971000,208195000,211935000,262432000,386832000
Capela De Santana,195153000,203167000,227101000,237577000,298585000
Capitão,68803000,65114000,76628000,87575000,95378000
Carazinho,2668793000,2988150000,3149569000,3102105000,3846847000
Caraá,100468000,110248000,119767000,143725000,165659000
Carlos Barbosa,2181701000,2534374000,2769095000,3072876000,3529578000
Carlos Gomes,33524000,38923000,44003000,47049000,70447000
Casca,415055000,438486000,477800000,521398000,717919000
Caseiros,121343000,135693000,128151000,137042000,199196000
Catuípe,330437000,389421000,382986000,336255000,638109000
Caxias Do Sul,21811857000,24770075000,26871811000,25936518000,31688460000
Centenário,68802000,74005000,83182000,76881000,120778000
Cerrito,94960000,93777000,108021000,106902000,161327000
Cerro Branco,77509000,71998000,75716000,70712000,90158000
Cerro Grande,50991000,56203000,55980000,55572000,74561000
Cerro Grande Do Sul,168380000,160235000,183438000,168385000,203183000
Cerro Largo,656218000,734561000,774572000,687642000,796775000
Chapada,433601000,464291000,463225000,481307000,741826000
Charqueadas,1115156000,1304462000,1374623000,1282801000,1736974000
Charrua,74293000,91755000,92281000,89563000,149351000
Chiapetta,186966000,212897000,204155000,228603000,388835000
Chuí,230138000,379220000,381929000,304314000,370301000
Chuvisca,103454000,102138000,114607000,97377000,129739000
